,Título,types
"0,Restaurante Cepa,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"1,Lobozó Restaurante,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"2,Plou Vinhos,""['bar', 'point_of_interest', 'establishment']"""
"3,La Boutique del Tartufo,""['store', 'point_of_interest', 'establishment']"""
"4,Salsamenteria di Parma,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"5,Ristorante Nabucco,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"6,Urban Outfitters,""['clothing_store', 'store', 'point_of_interest', 'establishment']"""
"7,DMAG outlet,""['clothing_store', 'shopping_mall', 'shoe_store', 'store', 'point_of_interest', 'establishment']"""
"8,Enjoy Milano Skyline,""['lodging', 'point_of_interest', 'establishment']"""
"9,Sapori & Dintorni CONAD,""['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"""
"10,SAPORI & DINTORNI STORE,""['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"""
"11,SAPORI & DINTORNI STORE,""['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"""
"12,All'Antico Vinaio - Milano,""['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"13,Van Bol & Feste,""['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"""
"14,Dr. Martens,""['clothing_store', 'point_of_interest', 'store', 'establishment']"""
"15,SAPORI & DINTORNI STORE,""['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"""
"16,SAPORI & DINTORNI STORE,""['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"""
"17,London Outlet Store,""['shopping_mall', 'point_of_interest', 'establishment']"""
"18,Pastasciutta,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"19,""Via del Caravita, 9"",['street_address']"
"20,""Via delle Muratte, 8"",['street_address']"
"21,al42 by Pasta Chef rione Monti,""['store', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"22,Pastificio Guerra,""['store', 'food', 'point_of_interest', 'establishment']"""
"23,""Via Marsala, 53"",""['parking', 'point_of_interest', 'establishment']"""
"24,Società Agricola Casanuova Delle Cerbaie Srl - Brunello di Montalcino,""['bar', 'food', 'point_of_interest', 'establishment']"""
"25,Osteria il Vinaio,""['liquor_store', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"""
"26,Gino Cacino di Angelo,""['meal_takeaway', 'bar', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"""
"27,Osteria degli Svitati,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"28,Osteria Il Grattacielo dal 1840,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"29,Fischi per Fiaschi,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"30,Osteria Da Trombicche,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"31,Agriturismo Castel di Pugna,""['locality', 'political']"""
"32,La Ménagère,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"33,Trattoria Marione,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"34,Trattoria Zà Zà,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"35,Ristorante Buca Niccolini,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"36,""Viale delle Provincie, 23"",['street_address']"
"37,KIKO Milano,""['store', 'point_of_interest', 'establishment']"""
"38,Gelateria Della Passera,""['store', 'food', 'point_of_interest', 'establishment']"""
"39,""Via Vincenzo Gioberti, 66"",['street_address']"
"40,Mercato di Sant’Ambrogio,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"41,Vista panoramica di Firenze,""['point_of_interest', 'establishment']"""
"42,Porta Romana,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"43,St Trinity Bridge,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"44,Finestrella,""['tourist_attraction', 'point_of_interest', 'establishment']"""
"45,Osteria dell'Orsa,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"46,KOF - King of The Fork,""['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"""
"47,""São Paulo Tap House - 42 taps, Choperia, Hamburgueria e Churrasco Texano"",""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"48,Mercadão das Flores,""['point_of_interest', 'establishment']"""
"49,Squella Restaurant,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"50,Plaza Garibaldi,""['point_of_interest', 'tourist_attraction', 'establishment']"""
"51,Madera & Carbón,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"52,Beth Bakery,""['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"""
"53,Blés D'or,""['bakery', 'food', 'store', 'point_of_interest', 'establishment']"""
"54,Papelaria Tendmais,""['point_of_interest', 'store', 'establishment']"""
"55,Macy's,""['shoe_store', 'store', 'point_of_interest', 'establishment']"""
"56,Brandy Melville - Flagship,""['clothing_store', 'point_of_interest', 'store', 'establishment']"""
"57,by CHLOE. SoHo,""['clothing_store', 'store', 'point_of_interest', 'establishment']"""
"58,""DŌ, Cookie Dough Confections"",""['food', 'point_of_interest', 'store', 'establishment']"""
"59,The William Vale,""['lodging', 'point_of_interest', 'establishment']"""
"60,Gallow Green,""['restaurant', 'food', 'point_of_interest', 'establishment']"""
"61,Oyshio Sushi Bar,""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"62,A Fábrica Gastro Beer,""['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"""
"63,Cervejaria Micaela Rosa,""['food', 'point_of_interest', 'establishment']"""
"64,King Hop Beers Craft,""['bar', 'store', 'point_of_interest', 'establishment']"""